region_id,Zoning
8b2a8ac614c2fff,15
8b2a8ac61948fff,3
8b2a8ad59a98fff,15
8b2a8a89225bfff,6
8b2a8ad5924cfff,15
8b2a8ac6084dfff,5
8b2a8ad4bd75fff,2
8b2a8a893694fff,6
8b2a8ac61c51fff,3
8b2a8ac6c136fff,15
8b2a8ac64918fff,0
8b2a8ac62cf1fff,15
8b2a8ac65165fff,7
8b2a8ac65165fff,1
8b2a8ac65165fff,4
8b2a8ac61690fff,15
8b2a8ac61b9efff,3
8b2a8ac60c21fff,15
8b2a8ac61154fff,3
8b2a8ac600ddfff,15
8b2a8ac75b41fff,15
8b2a8ac6528bfff,3
8b2a8ac6528bfff,5
8b2a8ac6168bfff,15
8b2a8ac61563fff,15
8b2a8ad4a755fff,15
8b2a8a892551fff,0
8b2a8ac63132fff,2
8b2a8ad596a4fff,15
8b2a8ac63432fff,15
8b2a8ad4a91dfff,15
8b2a8ad5b383fff,15
8b2a8ac65c5cfff,5
8b2a8ad59a6dfff,15
8b2a8ad4b503fff,3
8b2a8ac65b34fff,1
8b2a8ac65b34fff,0
8b2a8ad4e203fff,15
8b2a8ad4a268fff,9
8b2a8ad4a268fff,2
8b2a8ac6178dfff,15
8b2a8ad4bd33fff,2
8b2a8a892856fff,0
8b2a8ad4bc61fff,2
8b2a8ac601b6fff,2
8b2a8ad4aacefff,0
8b2a8ac6341efff,15
8b2a8ac6049efff,15
8b2a8ad4a256fff,9
8b2a8ac65c26fff,0
8b2a8ac65c26fff,1
8b2a8ac6062bfff,2
8b2a8ac6c993fff,3
8b2a8ac61d6dfff,3
8b2a8ac61d6dfff,5
8b2a8ac6691cfff,15
8b2a8ad484f5fff,2
8b2a8ad59743fff,15
8b2a8a8966cefff,0
8b2a8ac62cc9fff,15
8b2a8ad4819dfff,0
8b2a8a893505fff,15
8b2a8ac64514fff,15
8b2a8ac669a3fff,15
8b2a8ac65361fff,0
8b2a8ac75b6efff,15
8b2a8ac61918fff,3
8b2a8ad4e6e6fff,15
8b2a8a896586fff,11
8b2a8a896586fff,0
8b2a8ac6dc32fff,7
8b2a8ac6405bfff,0
8b2a8a8962e4fff,2
8b2a8ad4ace8fff,15
8b2a8ac60a73fff,5
8b2a8ac642a3fff,0
8b2a8ac642a3fff,11
8b2a8ad4b2b0fff,0
8b2a8ac61c6cfff,3
8b2a8ac6c896fff,7
8b2a8ac6c896fff,3
8b2a8ad4e22bfff,15
8b2a8ac6464afff,8
8b2a8ac6464afff,10
8b2a8ac64411fff,15
8b2a8ac6405afff,0
8b2a8ad4bc94fff,2
8b2a8ac66040fff,15
8b2a8ad4bc2cfff,2
8b2a8ad5ba66fff,15
8b2a8a892189fff,10
8b2a8ac64168fff,2
8b2a8ac6679bfff,15
8b2a8ad4a309fff,0
8b2a8ac639a2fff,2
8b2a8ad4b98cfff,2
8b2a8a896786fff,0
8b2a8a892a9afff,8
8b2a8ad4aa94fff,0
8b2a8ac6c816fff,11
8b2a8ac6c816fff,3
8b2a8a892ba9fff,0
8b2a8ac6570efff,5
8b2a8ad4b309fff,0
8b2a8ad4ab02fff,2
8b2a8ac600d1fff,11
8b2a8ac600d1fff,15
8b2a8a892c56fff,10
8b2a8ac63010fff,2
8b2a8ac66953fff,15
8b2a8ac66129fff,15
8b2a8ac6cce1fff,15
8b2a8ac64048fff,0
8b2a8ac66573fff,15
8b2a8ac64b80fff,2
8b2a8ac640f0fff,2
8b2a8ac640f0fff,8
8b2a8ad4b216fff,0
8b2a8ac602edfff,15
8b2a8ac60761fff,15
8b2a8ac6281efff,15
8b2a8a892571fff,0
8b2a8ac6c183fff,15
8b2a8ad59226fff,15
8b2a8ac66158fff,15
8b2a8a8962d6fff,2
8b2a8ac66074fff,15
8b2a8ac6312bfff,15
8b2a8ac6439afff,0
8b2a8ac6439afff,11
8b2a8ac64301fff,0
8b2a8ac60a95fff,5
8b2a8ac61943fff,3
8b2a8ac63820fff,2
8b2a8ac6032cfff,5
8b2a8ad5976cfff,15
8b2a8ac60628fff,2
8b2a8ad4e6dafff,15
8b2a8ac64791fff,15
8b2a8a892058fff,1
8b2a8a892058fff,10
8b2a8ac62b30fff,15
8b2a8ac65c64fff,1
8b2a8ac65b09fff,0
8b2a8ac6621efff,15
8b2a8ac6cd2bfff,3
8b2a8ac650d1fff,5
8b2a8ac65371fff,0
8b2a8ac64c81fff,15
8b2a8ad4b328fff,8
8b2a8ac61963fff,3
8b2a8ac6ca4efff,7
8b2a8ac63816fff,15
8b2a8ac6459afff,15
8b2a8ad59333fff,15
8b2a8ad592d9fff,15
8b2a8ac66326fff,15
8b2a8ad4b704fff,0
8b2a8ac65c85fff,4
8b2a8ac65c85fff,8
8b2a8ad59696fff,15
8b2a8a892c0dfff,10
8b2a8ac658c8fff,1
8b2a8ac6312cfff,15
8b2a8ac64740fff,2
8b2a8ad4b2d2fff,0
8b2a8ad4b22dfff,0
8b2a8ac652aefff,3
8b2a8ac652aefff,11
8b2a8ac652aefff,5
8b2a8ac601a8fff,13
8b2a8ac60a61fff,5
8b2a8a893404fff,6
8b2a8ac63d1bfff,15
8b2a8ac63581fff,15
8b2a8ac61d85fff,5
8b2a8ad48419fff,2
8b2a8ac63580fff,15
8b2a8ac66b70fff,15
8b2a8ac63833fff,2
8b2a8ac63833fff,15
8b2a8ad4b628fff,0
8b2a8ad4a00bfff,0
8b2a8ac648c0fff,2
8b2a8ac608cafff,5
8b2a8ac65842fff,11
8b2a8ac6c31cfff,10
8b2a8ac6566efff,5
8b2a8ac61171fff,3
8b2a8a896323fff,0
8b2a8ad59a5cfff,15
8b2a8a8935a9fff,6
8b2a8ac6cba0fff,6
8b2a8ac6cba0fff,7
8b2a8ac65514fff,5
8b2a8ac62b0dfff,15
8b2a8ac61b64fff,3
8b2a8ac60aebfff,5
