region_id,cluster
8a2a8a892717fff,0
8a2a8ad4a0d7fff,1
8a2a8ad5931ffff,2
8a2a8ad4ad87fff,3
8a2a8ac66557fff,4
8a2a8ac6462ffff,4
8a2a8ac66257fff,4
8a2a8ad59aeffff,5
8a2a8ad4a1b7fff,5
8a2a8a892c17fff,-1
8a2a8ac6110ffff,6
8a2a8ac64557fff,5
8a2a8ac64ceffff,5
8a2a8ad5984ffff,15
8a2a8ad4a757fff,4
8a2a8ac6304ffff,4
8a2a8ac6001ffff,-1
8a2a8ac64927fff,7
8a2a8ad4bd6ffff,8
8a2a8a892987fff,7
8a2a8a89218ffff,27
8a2a8ac6508ffff,9
8a2a8ac608f7fff,9
8a2a8ad4a2cffff,-1
8a2a8ac61227fff,4
8a2a8ac62107fff,5
8a2a8ac6050ffff,-1
8a2a8ac62867fff,4
8a2a8ad4a0cffff,-1
8a2a8a892517fff,7
8a2a8ad4a857fff,7
8a2a8ad5936ffff,5
8a2a8a892027fff,7
8a2a8ad4a057fff,10
8a2a8ac60017fff,-1
8a2a8ac645b7fff,5
8a2a8ad4a0a7fff,5
8a2a8ac64c2ffff,5
8a2a8ac60b5ffff,9
8a2a8ac653b7fff,-1
8a2a8ac66c07fff,3
8a2a8ac6c107fff,3
8a2a8ac604d7fff,4
8a2a8ac63d77fff,-1
8a2a8ac60b2ffff,9
8a2a8a89671ffff,3
8a2a8ad4a577fff,2
8a2a8ac6216ffff,4
8a2a8a8965affff,7
8a2a8ad4b4a7fff,11
8a2a8ac6525ffff,-1
8a2a8ad4a357fff,3
8a2a8ad59777fff,4
8a2a8ad48c9ffff,5
8a2a8ad4a4affff,12
8a2a8ac60d97fff,3
8a2a8ac61ceffff,9
8a2a8ac6596ffff,29
8a2a8ac60cd7fff,3
8a2a8ac6566ffff,9
8a2a8ac664d7fff,3
8a2a8ac60277fff,6
8a2a8ad59217fff,-1
8a2a8ad4aa0ffff,7
8a2a8ad4b51ffff,-1
8a2a8ac6dd97fff,-1
8a2a8ac61c87fff,9
8a2a8ac6691ffff,-1
8a2a8ac6394ffff,13
8a2a8ac63577fff,-1
8a2a8ad4a867fff,-1
8a2a8ad4aa9ffff,7
8a2a8ac6138ffff,4
8a2a8ac62b07fff,4
8a2a8ac65157fff,-1
8a2a8ad59757fff,4
8a2a8ad5b34ffff,3
8a2a8ac62307fff,-1
8a2a8ac601b7fff,-1
8a2a8ac60597fff,14
8a2a8ac6196ffff,9
8a2a8ac64a27fff,11
8a2a8ad484cffff,7
8a2a8a892377fff,7
8a2a8ad5985ffff,15
8a2a8a892447fff,-1
8a2a8ac64c4ffff,-1
8a2a8a89269ffff,0
8a2a8ac6126ffff,-1
8a2a8ac64a17fff,-1
8a2a8ac64277fff,7
8a2a8ac6c067fff,16
8a2a8ac6c3affff,-1
8a2a8ac62167fff,5
8a2a8ac64667fff,-1
8a2a8a892d77fff,7
8a2a8ac614f7fff,5
8a2a8ac64727fff,-1
8a2a8ac6312ffff,5
8a2a8ac60917fff,9
8a2a8ad4b017fff,3
8a2a8ad4b32ffff,11
8a2a8ac606f7fff,-1
8a2a8ac64917fff,34
8a2a8ac6ccaffff,17
8a2a8a892087fff,7
8a2a8ac63567fff,18
8a2a8ac6458ffff,4
8a2a8ac62d37fff,5
8a2a8ac60857fff,9
8a2a8a896477fff,7
8a2a8ac66337fff,15
8a2a8ac6552ffff,9
8a2a8ac65337fff,7
8a2a8ac6140ffff,-1
8a2a8a89360ffff,19
8a2a8ac62907fff,4
8a2a8ad4e64ffff,3
8a2a8ac66387fff,4
8a2a8ac64137fff,15
8a2a8ad59747fff,4
8a2a8ac63b4ffff,4
8a2a8ac60087fff,-1
8a2a8a892367fff,3
8a2a8ad59a87fff,5
8a2a8ac664c7fff,-1
8a2a8ad4b677fff,3
8a2a8ac6c157fff,7
8a2a8ad48717fff,7
8a2a8ad4a0dffff,15
8a2a8ac6684ffff,4
8a2a8ac6044ffff,5
8a2a8ac6480ffff,20
8a2a8a89678ffff,-1
8a2a8ad59247fff,4
8a2a8a892ccffff,-1
8a2a8ad4a39ffff,7
8a2a8ac646affff,-1
8a2a8ac6031ffff,6
8a2a8ad5b66ffff,3
8a2a8ad4b577fff,-1
8a2a8a896457fff,-1
8a2a8ad4ab87fff,7
