feature_id,region_id,cluster_id,color,centroid_lat,centroid_lon,area_degrees_sq,geometry_json,rag_text
19,8a2a8ac63137fff,-1,#808080,37.20983839922103,-80.45331040924773,1.4279718173444772e-06,"{""coordinates"":[[[-80.4531320384191,37.21045752656794],[-80.45395560518094,37.2102674851278],[-80.45413396477831,37.20964835619148],[-80.45348877582452,37.20921927275173],[-80.45266522481374,37.20940930764335],[-80.45248684700589,37.21002843252312],[-80.4531320384191,37.21045752656794]]],""type"":""Polygon""}","H3 region 8a2a8ac63137fff is feature 19. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.209838, longitude -80.453310. Its display color is #808080."
20,8a2a8ac641affff,-1,#808080,37.245559969210646,-80.43378115622151,1.4298319047310186e-06,"{""coordinates"":[[[-80.43360239899916,37.246179406694466],[-80.43442666729794,37.245989384789986],[-80.43460541327067,37.245369945710436],[-80.43395990917729,37.24494053260144],[-80.43313565666138,37.24513054795938],[-80.43295689245618,37.245749982972725],[-80.43360239899916,37.246179406694466]]],""type"":""Polygon""}","H3 region 8a2a8ac641affff is feature 20. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.245560, longitude -80.433781. Its display color is #808080."
36,8a2a8a892387fff,-1,#808080,37.20574384761484,-80.39836669784125,1.4278614356031117e-06,"{""coordinates"":[[[-80.39818762798747,37.206362868336605],[-80.39901137921117,37.20617321601146],[-80.39919043783092,37.205554193687504],[-80.3985457634204,37.20512482776576],[-80.39772202796877,37.2053144735606],[-80.39754295115578,37.20593349180737],[-80.39818762798747,37.206362868336605]]],""type"":""Polygon""}","H3 region 8a2a8a892387fff is feature 36. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.205744, longitude -80.398367. Its display color is #808080."
52,8a2a8ac64a6ffff,-1,#808080,37.2392092533613,-80.41868815803612,1.4295345240832306e-06,"{""coordinates"":[[[-80.41850922805753,37.23982861265594],[-80.41933345763832,37.239638714426135],[-80.41951237636894,37.239019353532484],[-80.41886708374277,37.23858989494008],[-80.41804286994724,37.238779786628996],[-80.41786393299283,37.239399143451095],[-80.41850922805753,37.23982861265594]]],""type"":""Polygon""}","H3 region 8a2a8ac64a6ffff is feature 52. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.239209, longitude -80.418688. Its display color is #808080."
58,8a2a8ac63877fff,-1,#808080,37.21050027164233,-80.44543142330618,1.4280198754624674e-06,"{""coordinates"":[[[-80.44525294759006,37.21111939543148],[-80.44607656222318,37.210929405789294],[-80.44625502670708,37.21031028040884],[-80.44560989476697,37.20988114873007],[-80.44478629588873,37.2100711318262],[-80.4446078131959,37.21069025314704],[-80.44525294759006,37.21111939543148]]],""type"":""Polygon""}","H3 region 8a2a8ac63877fff is feature 58. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.210500, longitude -80.445431. Its display color is #808080."
93,8a2a8ad4e607fff,-1,#808080,37.27515054398328,-80.4183092310414,1.431372276070362e-06,"{""coordinates"":[[[-80.4181301625664,37.275770238852935],[-80.41895500915636,37.27558022862132],[-80.41913406636657,37.27496053215085],[-80.41848829523792,37.27453084998579],[-80.41766346445695,37.27472085367228],[-80.41748438899585,37.27534054606884],[-80.4181301625664,37.275770238852935]]],""type"":""Polygon""}","H3 region 8a2a8ad4e607fff is feature 93. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.275151, longitude -80.418309. Its display color is #808080."
97,8a2a8ac65827fff,-1,#808080,37.23357628161666,-80.40800680217812,1.4292658408802085e-06,"{""coordinates"":[[[-80.40782775420914,37.234195574895566],[-80.40865193686177,37.23400576780761],[-80.40883097358451,37.23338647292745],[-80.40818584587159,37.232956989210386],[-80.40736167900512,37.233146789761584],[-80.4071826240656,37.233766080566475],[-80.40782775420914,37.234195574895566]]],""type"":""Polygon""}","H3 region 8a2a8ac65827fff is feature 97. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.233576, longitude -80.408007. Its display color is #808080."
154,8a2a8ac6cc2ffff,-1,#808080,37.1991845916115,-80.41179535097321,1.4275025478819147e-06,"{""coordinates"":[[[-80.41161648000462,37.19980356763642],[-80.41244005701353,37.19961384432976],[-80.41261891675231,37.19899486670612],[-80.41197421767409,37.198565616460726],[-80.41115065642718,37.198755333233535],[-80.41097177849664,37.199374306785494],[-80.41161648000462,37.19980356763642]]],""type"":""Polygon""}","H3 region 8a2a8ac6cc2ffff is feature 154. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.199185, longitude -80.411795. Its display color is #808080."
163,8a2a8ac6416ffff,-1,#808080,37.24355337012347,-80.42743559051367,1.4297407893395417e-06,"{""coordinates"":[[[-80.4272567581886,37.244172780946045],[-80.42808102157103,37.24398280892342],[-80.42825984264688,37.243363396503725],[-80.42761441856977,37.24293396017501],[-80.42679017097166,37.24312392565338],[-80.4266113316665,37.243743334004584],[-80.4272567581886,37.244172780946045]]],""type"":""Polygon""}","H3 region 8a2a8ac6416ffff is feature 163. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.243553, longitude -80.427436. Its display color is #808080."
191,8a2a8ac66747fff,-1,#808080,37.23580924792951,-80.46351765418869,1.4292798522134989e-06,"{""coordinates"":[[[-80.46333931996006,37.236428631052135],[-80.46416328339701,37.23623843663611],[-80.46434160638314,37.235619051925255],[-80.46369598416523,37.23518986568458],[-80.46287203649189,37.23538005354564],[-80.46269369527303,37.23599943420222],[-80.46333931996006,37.236428631052135]]],""type"":""Polygon""}","H3 region 8a2a8ac66747fff is feature 191. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.235809, longitude -80.463518. Its display color is #808080."
