parcel_feature_id,hex_id,hc_cluster,algo_classification,mistral7b_classification,phi4_classification
1b26546b-0dea-4c71-ae63-d98ef721ea67,8a2a8ad4ab67fff,0,Unclassified,Unclassified,Residential (unspecified)
2419e2e4-c76f-423c-be05-8bd2ed1df156,8a2a8a8927a7fff,0,Institutional (Vacant),Institutional,Institutional
f628b0ee-b57a-458b-bb0c-a4f1a135e8b0,8a2a8a8924cffff,0,Institutional (Vacant),Institutional,Institutional
f4d25c4e-c1a2-4ca6-909e-b211b3f0cd58,8a2a8ac65247fff,0,Institutional (Vacant),Institutional,Unclassified
b0339497-94e5-49a2-a980-b14055e9bda7,8a2a8ac6008ffff,0,Government/Public (Vacant),Government/Public,Infrastructure
4ac62ccb-7804-468f-84a4-0c93343aca30,8a2a8ac60737fff,0,Unclassified,Unclassified,Institutional
7c823e64-826a-4b1c-9dfc-2ba8a56c38eb,8a2a8ad486effff,0,Unclassified,Government/Public,Unclassified
71a150b9-8bae-44d8-9b3d-ccce09f95eab,8a2a8ac6cc57fff,0,Single-Family Residential (Vacant),Multi-Family Residential,Single-Family Residential
c372e170-263f-46f7-825c-6aaf87ba3e83,8a2a8a8927a7fff,0,Institutional (Vacant),Institutional,Institutional
80cceffb-e65c-47d4-9284-fac5410a7418,8a2a8ad4b01ffff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
b48ffb17-0fbd-44ec-aa6c-c3ec077f1a86,8a2a8ac6332ffff,0,Residential (unspecified) (Vacant),Government/Public,Unclassified
ac5c94ce-6b10-4845-b84c-d7db5ec34c93,8a2a8ac660d7fff,0,Residential (unspecified) (Vacant),Unclassified,Unclassified
1b48b47e-5423-4bd9-a835-f071ee73efec,8a2a8ac64677fff,0,Multi-Family Residential (Vacant),Unclassified,Residential (unspecified)
13b3f4a0-f1c1-47c0-a205-15e85997aa81,8a2a8ac6502ffff,0,Government/Public (Vacant),Government/Public,Government/Public
978868bb-f806-41d1-8a61-1f09429e9c99,8a2a8ac65c9ffff,0,Institutional (Vacant),Institutional,Unclassified
50aaddec-3fe9-4f15-a83b-8190eb2090b4,8a2a8ac6c0effff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
50aaddec-3fe9-4f15-a83b-8190eb2090b4,8a2a8ac6c057fff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
7643da70-a932-4380-b18f-f4f085f9b819,8a2a8ad486effff,0,Unclassified,Unclassified,Residential (unspecified)
04fa0f4f-7d53-4af0-9fc9-31a9591cff3a,8a2a8ac65c9ffff,0,Institutional (Vacant),Institutional,Institutional
ec243f0e-e9e0-4b37-bc0d-fa3ad1bbd14f,8a2a8ad4b24ffff,0,Government/Public (Vacant),Government/Public,Government/Public
8c15f3ad-6b83-4acf-993e-4ae7a6cd316b,8a2a8ac6c987fff,0,Institutional (Vacant),Institutional,Institutional
c99c101a-dd83-4c89-8d4d-88ee7f4bed33,8a2a8ac6008ffff,0,Multi-Family Residential (Vacant),Unclassified,Mixed Use
65136544-bcd5-4d0e-9fe5-fe496b318526,8a2a8a892217fff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
23b29c01-3da9-4213-b2d1-20e76bb377e9,8a2a8ac63107fff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
23b29c01-3da9-4213-b2d1-20e76bb377e9,8a2a8ac63117fff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
f765979b-b9db-416b-aef6-4bde539f31b9,8a2a8ac644f7fff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
2ebdf89e-f65b-4e49-8bb5-7f7b11546123,8a2a8ac65237fff,0,Single-Family Residential,Single-Family Residential,Mixed Use
ca023d64-1064-4195-a34b-67d1a6b78d14,8a2a8ac6514ffff,0,Commercial,Commercial,Commercial
ca023d64-1064-4195-a34b-67d1a6b78d14,8a2a8ac6515ffff,0,Commercial,Commercial,Commercial
dc239f9e-f16d-4006-ab14-b7863caa0c25,8a2a8ac6296ffff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
dc239f9e-f16d-4006-ab14-b7863caa0c25,8a2a8ac62967fff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
51a1c560-cb2b-412f-8653-fb0e78eafa4b,8a2a8ac60daffff,0,Government/Public (Vacant),Government/Public,Government/Public
325b875c-d1c3-4ecd-9cc6-d91446c1dd9c,8a2a8ad4b25ffff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
325b875c-d1c3-4ecd-9cc6-d91446c1dd9c,8a2a8ad4b24ffff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
36a3587d-76db-4deb-ab2a-3b3ac1adb18d,8a2a8ad4b25ffff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
36a3587d-76db-4deb-ab2a-3b3ac1adb18d,8a2a8ad4b24ffff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
ddc34bac-9fb2-485b-ac68-80ceea0d91ab,8a2a8a8927a7fff,0,Institutional (Vacant),Institutional,Institutional
02825e71-7caa-4193-ac94-aac9cbd1445c,8a2a8ac64307fff,0,Government/Public (Vacant),Government/Public,Government/Public
bb6d160b-5b85-49a1-9c31-8fc43edbc9e7,8a2a8ac66417fff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
2fe057e8-661f-4bec-a1fc-9baaea365a51,8a2a8ad4a8e7fff,0,Single-Family Residential (Vacant),Residential (unspecified),Single-Family Residential
1e9d08d7-9b86-4731-b371-e1d9dc8973ec,8a2a8ad5b297fff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
1e9d08d7-9b86-4731-b371-e1d9dc8973ec,8a2a8ac66c87fff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
1e9d08d7-9b86-4731-b371-e1d9dc8973ec,8a2a8ac6650ffff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
1e9d08d7-9b86-4731-b371-e1d9dc8973ec,8a2a8ac75967fff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
1e9d08d7-9b86-4731-b371-e1d9dc8973ec,8a2a8ad5b26ffff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
1e9d08d7-9b86-4731-b371-e1d9dc8973ec,8a2a8ad5b2c7fff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
1e9d08d7-9b86-4731-b371-e1d9dc8973ec,8a2a8ad5b0cffff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
1e9d08d7-9b86-4731-b371-e1d9dc8973ec,8a2a8ac664e7fff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
1e9d08d7-9b86-4731-b371-e1d9dc8973ec,8a2a8ad5b2d7fff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
1e9d08d7-9b86-4731-b371-e1d9dc8973ec,8a2a8ac66527fff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
