region_id_left,Zoning
8c2a8ac616041ff,15
8c2a8ad4b88b9ff,2
8c2a8a892c6b5ff,10
8c2a8ac6516bdff,4
8c2a8ac6086cbff,5
8c2a8ac61cc27ff,15
8c2a8ad4b99e7ff,2
8c2a8ac644705ff,2
8c2a8ad5b2649ff,15
8c2a8ad4b31c9ff,0
8c2a8ac606a5bff,15
8c2a8ad4b3511ff,0
8c2a8ac64d6d9ff,15
8c2a8ac663735ff,15
8c2a8ac618ee7ff,3
8c2a8a8922569ff,0
8c2a8ac63c6bdff,2
8c2a8ac6c213dff,10
8c2a8a893451bff,6
8c2a8ad4b236dff,0
8c2a8ad4ba9c7ff,0
8c2a8a8927313ff,3
8c2a8ad5b3953ff,15
8c2a8ad4b6833ff,0
8c2a8ad4b6833ff,8
8c2a8ac6216abff,15
8c2a8ad4ad003ff,15
8c2a8a892acadff,1
8c2a8a8963813ff,0
8c2a8ac63ae3bff,15
8c2a8ac608909ff,15
8c2a8ac62c1d5ff,15
8c2a8ad59ac07ff,15
8c2a8ac63b057ff,15
8c2a8ac667291ff,15
8c2a8ac63b43dff,15
8c2a8ac609633ff,5
8c2a8ad4e2c23ff,15
8c2a8ac605a21ff,15
8c2a8a896d925ff,8
8c2a8ac61ae17ff,3
8c2a8ad4ad25dff,15
8c2a8ad4b66dbff,0
8c2a8ac643669ff,0
8c2a8ac65c4ddff,4
8c2a8ac65c4ddff,5
8c2a8ac6cdb29ff,3
8c2a8ac605053ff,15
8c2a8ac647669ff,0
8c2a8ac642e0dff,0
8c2a8ad4e2829ff,15
8c2a8ac613a29ff,15
8c2a8a8920c47ff,13
8c2a8a8920e0dff,13
8c2a8a8964d47ff,0
8c2a8ac660213ff,15
8c2a8ac65a4c1ff,0
8c2a8ac60a8c7ff,5
8c2a8a8929269ff,2
8c2a8ac643a53ff,0
8c2a8a892821bff,2
8c2a8a892821bff,0
8c2a8ac65d6b7ff,1
8c2a8ac6c01c3ff,15
8c2a8a8934ce1ff,6
8c2a8ac63d169ff,15
8c2a8ac653297ff,0
8c2a8ac604b59ff,15
8c2a8ad4b7acbff,0
8c2a8ac650213ff,14
8c2a8ac6091d7ff,8
8c2a8ac610a89ff,15
8c2a8ad4e78cbff,15
8c2a8ac611129ff,3
8c2a8a8964c1dff,0
8c2a8ac60cca9ff,2
8c2a8ac6445b5ff,2
8c2a8a89259a3ff,0
8c2a8a89259a3ff,3
8c2a8a8929b21ff,0
8c2a8ac66d423ff,15
8c2a8ac65ce91ff,5
8c2a8ac64b947ff,2
8c2a8ad4ab641ff,2
8c2a8a89224adff,6
8c2a8ac6192cdff,3
8c2a8ac6144edff,15
8c2a8ac66cec3ff,9
8c2a8ad5d2487ff,15
8c2a8ac64a5bbff,2
8c2a8ad4a42e5ff,15
8c2a8a892625bff,3
8c2a8a8921835ff,10
8c2a8a892cee5ff,10
8c2a8ac60d699ff,16
8c2a8ac62020bff,15
8c2a8ac614361ff,15
8c2a8ac64d2a5ff,2
8c2a8ac64a115ff,0
8c2a8ad4b70dbff,0
8c2a8a89274d7ff,3
8c2a8ac63b2c9ff,15
8c2a8ac656eddff,5
8c2a8ad593983ff,15
8c2a8ac617987ff,15
8c2a8ac63baddff,15
8c2a8ac6181cbff,3
8c2a8ad4b2831ff,0
8c2a8ad59a613ff,15
8c2a8ac6152e1ff,15
8c2a8ac6038b5ff,15
8c2a8a8936b3bff,6
8c2a8ac65ae37ff,1
8c2a8ad4a84b5ff,2
8c2a8ad4a753bff,15
8c2a8ad4b3853ff,0
8c2a8ac62141bff,15
8c2a8ad4e26b7ff,15
8c2a8ac61a1ebff,3
8c2a8ac619b4dff,5
8c2a8ac6211abff,15
8c2a8ad4a56a3ff,15
8c2a8ac64b867ff,2
8c2a8ad4b4997ff,8
8c2a8ac606101ff,2
8c2a8ad4e2037ff,15
8c2a8ad4869a7ff,2
8c2a8ad4b5925ff,2
8c2a8ac6528edff,5
8c2a8ac6586c3ff,0
8c2a8a8964ad9ff,0
8c2a8ac6398a3ff,2
8c2a8ac667b35ff,15
8c2a8ac642451ff,0
8c2a8ac61162dff,3
8c2a8ac61ba25ff,3
8c2a8ac655011ff,5
8c2a8ac6cb367ff,6
8c2a8ad4a45e5ff,15
8c2a8ac6c98ebff,7
8c2a8ac6c98ebff,3
8c2a8ac643a33ff,0
8c2a8ac60a1d1ff,5
8c2a8ad4a41d5ff,15
8c2a8ad59af63ff,15
8c2a8ac652021ff,3
8c2a8a8924eadff,3
